Key,SymbolName,EnkaID,filename,ascensionMaterial,en,chs,cht,jp,kr,fr,it,ru,de,vi
$asset.weapon:SongOfStillness,SongOfStillness,15425,UI_EquipIcon_Bow_Vorpal,weaponAncientChord,Song of Stillness,静谧之曲,靜謐之曲,静寂の唄,고요한 노래,Chant de quiétude,Canto del silenzio,Мелодия покоя,Gesang der Stille,Khúc Ca Tĩnh Lặng
$asset.weapon:Cloudforged,Cloudforged,15426,UI_EquipIcon_Bow_Ultimatum,weaponAerosiderite,Cloudforged,筑云,築雲,築雲,축운,Nimbus-forgé,Forgianuvole,Выкованный из облаков,Wolkenweber,Trúc Vân
$asset.weapon:RangeGauge,RangeGauge,15427,UI_EquipIcon_Bow_Mechanic,weaponAncientChord,Range Gauge,测距规,測距規,レンジゲージ,거리 측정기,Jauge de portée,Indicatore distanziometrico,Дальномер,Entfernungsmesser,Máy Đo Cự Ly
$asset.weapon:ChainBreaker,ChainBreaker,15431,UI_EquipIcon_Bow_Isikhulu,weaponNightWind,Chain Breaker,碎链,碎鏈,チェーンブレイカー,사슬 파괴자,Brise-chaîne,Spezzacatene,Разбивающий цепи,Zersprungene Ketten,Phá Xích
$asset.weapon:SkywardHarp,SkywardHarp,15501,UI_EquipIcon_Bow_Dvalin,weaponBorealWolf,Skyward Harp,天空之翼,天空之翼,天空の翼,천공의 날개,Ailes de la Voûte d'Azur,Arpa celeste,Небесное крыло,Himmelsflügel,Cánh Thiên Không
$asset.weapon:AmosBow,AmosBow,15502,UI_EquipIcon_Bow_Amos,weaponGladiator,Amos' Bow,阿莫斯之弓,阿莫斯之弓,アモスの弓,아모스의 활,Arc d'Amos,Arco di Amos,Лук Амоса,Amos’ Bogen,Cung Amos
$asset.weapon:ElegyForTheEnd,ElegyForTheEnd,15503,UI_EquipIcon_Bow_Widsith,weaponBorealWolf,Elegy for the End,终末嗟叹之诗,終末嗟嘆之詩,終焉を嘆く詩,종말 탄식의 노래,Ultime soupir,Elegia finale,Элегия погибели,Letzter Seufzer,Tiếng Thở Dài Vô Tận
$asset.weapon:PolarStar,PolarStar,15507,UI_EquipIcon_Bow_Worldbane,weaponKijinMask,Polar Star,冬极白星,冬極白星,冬極の白星,극지의 별,Étoile polaire,Stella polare,Полярная звезда,Polarstern,Ngôi Sao Cực Đông
$asset.weapon:AquaSimulacra,AquaSimulacra,15508,UI_EquipIcon_Bow_Kirin,weaponGuyun,Aqua Simulacra,若水,若水,若水,약수,Simulacre d'eau,Aqua simulacra,Аква симулякрум,Aqua Simulacra,Nhược Thủy
$asset.weapon:ThunderingPulse,ThunderingPulse,15509,UI_EquipIcon_Bow_Narukami,weaponNarukami,Thundering Pulse,飞雷之弦振,飛雷之弦振,飛雷の鳴弦,비뢰의 고동,Pulsation du tonnerre,Battito tonante,Громовой пульс,Donnerpuls,Sấm Sét Rung Động
$asset.weapon:HuntersPath,HuntersPath,15511,UI_EquipIcon_Bow_Ayus,weaponScorchingMight,Hunter's Path,猎人之径,獵人之徑,狩人の道,사냥꾼의 길,La voie du chasseur,Sentiero del cacciatore,Охотничья тропа,Pfad des Jägers,Con Đường Thợ Săn
$asset.weapon:TheFirstGreatMagic,TheFirstGreatMagic,15512,UI_EquipIcon_Bow_Pledge,weaponAncientChord,The First Great Magic,最初的大魔术,最初的大魔術,始まりの大魔術,최초의 대마술,La première grande magie,Prima grande magia,Первый великий фокус,Erste große Magie,Màn Ảo Thuật Đầu Tiên
$asset.weapon:SilverShowerHeartStrings,SilverShowerHeartStrings,15513,UI_EquipIcon_Bow_Arcdange,weaponDewdrop,Silvershower,白雨心弦,白雨心弦,白雨心弦,심금을 울리는 하얀 비,Corde de pluie blanche,Candido cuore della pioggia,Сердечные струны,Tröpfelnde Herzsaiten,Màn Mưa Tơ Lòng
